Layer,Name,GEOID,Population,Longitude,Latitude,alzheimers,female_breast_cancer,cancer,coronary_heart_disease,diabetes,diet_related,heart_disease,lung_and_bronchus_cancer,stroke,tobacco_related,years_lost
Community area,South Deering,51,14125,-87.570058,41.690639,25.1,33.8,213.1,89.6,31.5,344.7,205.6,55.7,63.2,299.9,11285
Community area,East Side,52,21529,-87.534907,41.707306,30.2,14.5,186,99.6,34.9,320.4,202.3,43.1,32.8,279.6,5684
Community area,West Pullman,53,25788,-87.635745,41.67382,32.6,43.4,217.2,115.2,34.1,392,244.9,60.1,67.2,303.2,13808
Community area,Riverdale,54,7229,-87.602849,41.660137,19.5,28.6,200.3,122.8,73.6,451.4,236.9,51.8,73.6,323.8,13639
Community area,Hegewisch,55,9884,-87.556803,41.668188,28.3,11.9,170.3,71.6,22.9,270.2,182.1,52.4,35.1,267.8,7982
Community area,Garfield Ridge,56,35352,-87.764246,41.796185,31.7,21.1,177.6,111.3,15.1,330.5,213.4,39.9,55.7,257.4,7042
Community area,Archer Heights,57,14282,-87.726365,41.810873,21.3,18.1,131,70.8,33.8,293.6,163.5,15.9,51.8,248.1,5885
Community area,Brighton Park,58,45141,-87.698859,41.817364,15.1,17,170,88.5,28.3,279.8,173.4,40.2,45.1,245.1,5236
Community area,McKinley Park,59,15927,-87.6725,41.829927,18,21.5,158.8,83,14.7,280.6,162.9,20.7,53,215.9,4620
Community area,Lake View,6,91836,-87.656001,41.944236,19.6,24.4,143.8,86.9,14.7,242,179.1,27,32.4,208.2,1781
Community area,Bridgeport,60,33593,-87.648784,41.836151,16.5,10,164.9,92,15.7,284.2,187.7,36.3,49.2,246.6,5991
Community area,New City,61,43510,-87.659171,41.809017,11.5,18.6,202.9,105.9,38,352.6,203.7,47.5,60.7,279.1,9173
Community area,West Elsdon,62,18249,-87.724213,41.792977,21.3,7.8,156.7,90.2,21.3,279,173.4,25.8,45.6,215.1,5185
Community area,Gage Park,63,39439,-87.696433,41.795429,23,24.8,157.8,69.8,25.4,267.6,160.3,17.1,41,224.4,5684
Community area,Clearing,64,24519,-87.768517,41.779582,24.3,19.7,207,127.2,17.6,353.3,234.1,53.6,55,295,7589
Community area,West Lawn,65,33543,-87.726927,41.769774,26.3,22.4,177.7,103.3,21.9,310.6,197.3,32.6,53.4,232.3,5666
Community area,Chicago Lawn,66,55789,-87.695667,41.771849,17.8,27.2,203.3,97.3,28.7,363.9,213.7,49.4,63.9,297.3,9166
Community area,West Englewood,67,29899,-87.666598,41.775926,16.2,45.9,243.9,119,30.9,434.6,256.6,52.3,81.8,317.9,15319
Community area,Englewood,68,24322,-87.642502,41.777201,15.2,34.8,210.3,106,30.9,417.8,273.6,54.1,61.8,343.2,16235
Community area,Greater Grand Crossing,69,31543,-87.616139,41.763251,31.2,30.1,219,109.1,42.3,435.5,269.3,55.2,70,338.1,16563
